n,UA_Search,UA_Insert,UA_Delete,UA_Min,UA_Max,UA_Pred,UA_Succ,SA_Search,SA_Insert,SA_Delete,SA_Min,SA_Max,SA_Pred,SA_Succ,SLLU_Search,SLLU_Insert,SLLU_Delete,SLLU_Min,SLLU_Max,SLLU_Pred,SLLU_Succ,SLLS_Search,SLLS_Insert,SLLS_Delete,SLLS_Min,SLLS_Max,SLLS_Pred,SLLS_Succ,DLLU_Search,DLLU_Insert,DLLU_Delete,DLLU_Min,DLLU_Max,DLLU_Pred,DLLU_Succ,DLLS_Search,DLLS_Insert,DLLS_Delete,DLLS_Min,DLLS_Max,DLLS_Pred,DLLS_Succ
100,100,1,100,100,100,100,100,6,100,100,1,1,1,1,100,1,100,100,100,100,100,100,100,100,1,100,100,100,100,1,100,100,100,100,100,100,100,100,1,100,100,100
200,200,1,200,200,200,200,200,7,200,200,1,1,1,1,200,1,200,200,200,200,200,200,200,200,1,200,200,200,200,1,200,200,200,200,200,200,200,200,1,200,200,200
300,300,1,300,300,300,300,300,8,300,300,1,1,1,1,300,1,300,300,300,300,300,300,300,300,1,300,300,300,300,1,300,300,300,300,300,300,300,300,1,300,300,300
400,400,1,400,400,400,400,400,8,400,400,1,1,1,1,400,1,400,400,400,400,400,400,400,400,1,400,400,400,400,1,400,400,400,400,400,400,400,400,1,400,400,400
500,500,1,500,500,500,500,500,8,500,500,1,1,1,1,500,1,500,500,500,500,500,500,500,500,1,500,500,500,500,1,500,500,500,500,500,500,500,500,1,500,500,500
600,600,1,600,600,600,600,600,9,600,600,1,1,1,1,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600
700,700,1,700,700,700,700,700,9,700,700,1,1,1,1,700,1,700,700,700,700,700,700,700,700,1,700,700,700,700,1,700,700,700,700,700,700,700,700,1,700,700,700
800,800,1,800,800,800,800,800,9,800,800,1,1,1,1,800,1,800,800,800,800,800,800,800,800,1,800,800,800,800,1,800,800,800,800,800,800,800,800,1,800,800,800
900,900,1,900,900,900,900,900,9,900,900,1,1,1,1,900,1,900,900,900,900,900,900,900,900,1,900,900,900,900,1,900,900,900,900,900,900,900,900,1,900,900,900
1000,1000,1,1000,1000,1000,1000,1000,9,1000,1000,1,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000
1100,1100,1,1100,1100,1100,1100,1100,10,1100,1100,1,1,1,1,1100,1,1100,1100,1100,1100,1100,1100,1100,1100,1,1100,1100,1100,1100,1,1100,1100,1100,1100,1100,1100,1100,1100,1,1100,1100,1100
