Trials,Fair,Biased
100,0.480000,0.750000
200,0.480000,0.715000
300,0.476667,0.680000
400,0.465000,0.685000
500,0.492000,0.694000
600,0.480000,0.698333
700,0.474286,0.701429
800,0.470000,0.698750
900,0.471111,0.697778
1000,0.477000,0.693000
1100,0.487273,0.694545
1200,0.486667,0.691667
1300,0.500000,0.698462
1400,0.496429,0.700714
1500,0.494667,0.701333
1600,0.490625,0.703125
1700,0.494118,0.703529
1800,0.492222,0.701111
1900,0.492632,0.702105
2000,0.495000,0.699500
2100,0.492857,0.698095
2200,0.491364,0.696364
2300,0.493043,0.694783
2400,0.495833,0.694583
2500,0.498400,0.696000
2600,0.498846,0.697308
2700,0.501481,0.698519
2800,0.503571,0.698929
2900,0.502414,0.700345
3000,0.502000,0.701000
3100,0.503548,0.701290
3200,0.505313,0.701250
3300,0.504545,0.701818
3400,0.505000,0.703824
3500,0.505143,0.702286
3600,0.505278,0.703056
3700,0.505676,0.701892
3800,0.505789,0.703158
3900,0.505897,0.701795
4000,0.504750,0.700250
4100,0.503659,0.700244
4200,0.504048,0.700952
4300,0.504884,0.700698
4400,0.503636,0.700909
4500,0.503778,0.700000
4600,0.503913,0.701304
4700,0.501702,0.700638
4800,0.501875,0.700417
4900,0.501020,0.699388
5000,0.501600,0.700400
5100,0.500588,0.700588
5200,0.499038,0.700962
5300,0.497925,0.700000
5400,0.498333,0.699259
5500,0.498545,0.699091
5600,0.499107,0.699286
5700,0.500877,0.698772
5800,0.499483,0.698103
5900,0.498983,0.698305
6000,0.500333,0.697500
6100,0.499508,0.697541
6200,0.499032,0.697742
6300,0.499365,0.698095
6400,0.499844,0.698594
6500,0.499077,0.698154
6600,0.498788,0.696970
6700,0.497164,0.697313
6800,0.496176,0.698088
6900,0.495942,0.697536
7000,0.495429,0.696857
7100,0.494225,0.696056
7200,0.493472,0.695417
7300,0.493699,0.695753
7400,0.493243,0.696486
7500,0.494267,0.695867
7600,0.494737,0.696053
7700,0.494935,0.695974
7800,0.494615,0.696282
7900,0.494557,0.696456
8000,0.494125,0.696125
8100,0.495556,0.696173
8200,0.495366,0.696463
8300,0.495663,0.696867
8400,0.495476,0.696667
8500,0.496706,0.696235
8600,0.496395,0.695930
8700,0.496552,0.695862
8800,0.497386,0.695682
8900,0.497865,0.695506
9000,0.499222,0.694889
9100,0.499121,0.695055
9200,0.498696,0.694891
9300,0.497312,0.695914
9400,0.497340,0.696596
9500,0.495789,0.696105
9600,0.497083,0.696146
9700,0.497526,0.697010
9800,0.497857,0.697245
9900,0.496869,0.697273
10000,0.497300,0.697100
10100,0.496238,0.696634
10200,0.495784,0.696863
10300,0.495922,0.696893
10400,0.496058,0.696154
10500,0.495524,0.696000
10600,0.494811,0.696038
10700,0.494206,0.695794
10800,0.493981,0.695833
10900,0.493211,0.696055
11000,0.493455,0.696455
11100,0.493694,0.696306
11200,0.494018,0.695357
11300,0.493805,0.695664
11400,0.493947,0.695175
11500,0.494174,0.694609
11600,0.494569,0.695172
11700,0.494872,0.694444
11800,0.494746,0.695593
11900,0.494538,0.695546
12000,0.494500,0.695250
12100,0.494380,0.695207
12200,0.494262,0.694918
12300,0.493984,0.695366
12400,0.493629,0.696048
12500,0.494000,0.696000
12600,0.494286,0.696190
12700,0.494173,0.696299
12800,0.494141,0.696328
12900,0.495039,0.696744
13000,0.495692,0.696538
13100,0.495649,0.696565
13200,0.495379,0.696742
13300,0.495865,0.696617
13400,0.496119,0.696940
13500,0.496444,0.696963
13600,0.496324,0.696691
13700,0.495985,0.696642
13800,0.495507,0.696594
13900,0.495755,0.696475
14000,0.496143,0.696357
14100,0.495816,0.696879
14200,0.495563,0.696972
14300,0.495804,0.697063
14400,0.495764,0.696389
14500,0.495586,0.695724
14600,0.495753,0.695342
14700,0.496054,0.695714
14800,0.496216,0.695811
14900,0.496376,0.695705
15000,0.497067,0.695933
15100,0.496623,0.695894
15200,0.497368,0.696447
15300,0.497320,0.696601
15400,0.497727,0.696558
15500,0.497613,0.696323
15600,0.497885,0.696474
15700,0.497643,0.697006
15800,0.497532,0.696772
15900,0.497170,0.696981
16000,0.497437,0.697500
16100,0.497516,0.697391
16200,0.497346,0.697716
16300,0.497362,0.697730
16400,0.497439,0.698171
16500,0.498061,0.698061
16600,0.497711,0.698253
16700,0.497246,0.698623
16800,0.497917,0.698810
16900,0.497633,0.699408
17000,0.497824,0.699412
17100,0.497895,0.699181
17200,0.497849,0.698663
17300,0.498035,0.698786
17400,0.498448,0.698506
17500,0.498457,0.698286
17600,0.498011,0.698125
17700,0.497853,0.697740
17800,0.497809,0.698146
17900,0.497877,0.698324
18000,0.497722,0.697944
18100,0.498287,0.697735
18200,0.498352,0.697802
18300,0.498852,0.697760
18400,0.499185,0.698043
18500,0.499135,0.698108
