Array Size,Comparisons,Duplicate Found
100,418,Yes
200,19900,No
300,5286,Yes
400,54274,Yes
500,26005,Yes
600,8027,Yes
700,139397,Yes
800,3418,Yes
900,10077,Yes
1000,66529,Yes
1100,25188,Yes
1200,4600,Yes
1300,21585,Yes
1400,61546,Yes
1500,2761,Yes
1600,41530,Yes
1700,16042,Yes
1800,8929,Yes
1900,8677,Yes
2000,80072,Yes
2100,36113,Yes
2200,9255,Yes
2300,47174,Yes
2400,10717,Yes
2500,10311,Yes
2600,24218,Yes
2700,61678,Yes
2800,16329,Yes
2900,34345,Yes
3000,15610,Yes
3100,5149,Yes
3200,20166,Yes
3300,3493,Yes
3400,5294,Yes
3500,77240,Yes
3600,29970,Yes
3700,37348,Yes
3800,18787,Yes
3900,86714,Yes
4000,1520,Yes
4100,5150,Yes
4200,35563,Yes
4300,20858,Yes
4400,9740,Yes
4500,17279,Yes
4600,13680,Yes
4700,102500,Yes
4800,74633,Yes
4900,78427,Yes
5000,67466,Yes
